block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
1024,65536,4096,0.00287294,0.000938927,9.7972e-05,8.7935e-05
1024,65536,16384,0.0109689,0.00695974,0.000276941,0.000285877
1024,65536,65536,0.044718,0.0443594,0.000971552,0.00101306
1024,65536,262144,0.179156,0.177427,0.00374234,0.00391148
1024,65536,1048576,0.710761,0.716244,0.0148136,0.0155091
1024,262144,1024,0.000659417,0.000145751,5.8751e-05,4.5029e-05
1024,262144,4096,0.00273048,0.000642038,0.000111693,7.8563e-05
1024,262144,16384,0.0114345,0.00382346,0.000286706,0.000256386
1024,262144,65536,0.0447358,0.0279533,0.00100023,0.0010058
1024,262144,262144,0.178683,0.177144,0.00384479,0.00393296
1024,262144,1048576,0.717301,0.714723,0.0152141,0.0156275
