block_size,m,num_elements,cpu_insert,cpu_query,gpu_insert,gpu_query
128,1048576,1048576,0.764113,0.754332,0.0141465,0.0139041
128,4194304,1024,0.000815818,0.00014741,5.2101e-05,3.0399e-05
128,4194304,4096,0.00308999,0.000646808,0.000124593,5.7966e-05
128,4194304,16384,0.0119591,0.00257998,0.000262019,0.000116887
128,4194304,65536,0.0492385,0.011412,0.00092064,0.000517815
128,4194304,262144,0.191906,0.064506,0.00360122,0.00293292
128,4194304,1048576,0.778653,0.492736,0.0141644,0.0136555
128,16777216,1024,0.00090509,0.000184187,8.7725e-05,2.0119e-05
128,16777216,4096,0.00317339,0.000628455,0.000171739,5.1942e-05
128,16777216,16384,0.0124127,0.00272278,0.000506946,0.000105922
128,16777216,65536,0.0512831,0.0107719,0.00182452,0.000365691
128,16777216,262144,0.201279,0.0475233,0.00705812,0.00192859
128,16777216,1048576,0.753948,0.248812,0.0280332,0.0116052
256,16384,1024,0.000683672,0.000215266,4.1576e-05,4.8037e-05
256,16384,4096,0.00262711,0.00185529,8.5571e-05,8.5393e-05
256,16384,16384,0.0108733,0.0111233,0.000255647,0.000252994
256,16384,65536,0.044994,0.0447471,0.000918505,0.000906216
256,16384,262144,0.181323,0.18096,0.0035645,0.00350102
256,16384,1048576,0.724715,0.727991,0.0141578,0.0139141
256,65536,1024,0.00071722,0.000172402,4.0991e-05,3.8372e-05
256,65536,4096,0.00274606,0.000870504,8.282e-05,7.6355e-05
256,65536,16384,0.0114193,0.0071465,0.000255,0.000250384
256,65536,65536,0.0447654,0.0451866,0.000916768,0.000907952
256,65536,262144,0.178521,0.181588,0.00356882,0.00351021
256,65536,1048576,0.725524,0.729285,0.0153269,0.0150754
256,262144,1024,0.000716704,0.000191153,4.1712e-05,3.808e-05
256,262144,4096,0.00266417,0.000675094,8.7793e-05,6.5222e-05
256,262144,16384,0.011483,0.00344189,0.000254922,0.000222319
256,262144,65536,0.0449718,0.028809,0.000916903,0.000884999
256,262144,262144,0.181818,0.180385,0.00356453,0.00350399
256,262144,1048576,0.726051,0.727299,0.0141727,0.0139233
256,1048576,1024,0.000656371,0.000137787,4.1907e-05,2.3009e-05
256,1048576,4096,0.00307207,0.000646279,8.7115e-05,4.7924e-05
256,1048576,16384,0.0112737,0.00273317,0.000255479,0.00015361
256,1048576,65536,0.0457502,0.015149,0.000917628,0.000764549
256,1048576,262144,0.179133,0.11302,0.00356504,0.00344283
256,1048576,1048576,0.732784,0.723189,0.0141657,0.0139344
256,4194304,1024,0.000675393,0.00014064,4.9327e-05,2.2676e-05
256,4194304,4096,0.00279648,0.000706183,9.5011e-05,4.0415e-05
256,4194304,16384,0.0119384,0.00270419,0.000262802,0.000111671
256,4194304,65536,0.0453501,0.0116809,0.000930333,0.000531264
256,4194304,262144,0.18824,0.061295,0.00358281,0.00292424
256,4194304,1048576,0.734537,0.468999,0.0142277,0.013678
256,16777216,1024,0.000900225,0.000182133,8.9428e-05,2.3197e-05
256,16777216,4096,0.00312166,0.000623599,0.000171631,5.2817e-05
256,16777216,16384,0.0119334,0.00246346,0.000506966,0.000109549
256,16777216,65536,0.0512175,0.0102826,0.0018362,0.000375308
256,16777216,262144,0.204557,0.0473418,0.0071032,0.00201191
256,16777216,1048576,0.75467,0.248622,0.0282074,0.0116432
512,16384,1024,0.000671874,0.000223197,4.0963e-05,4.8427e-05
512,16384,4096,0.00286459,0.00166594,8.0611e-05,8.0916e-05
512,16384,16384,0.01112,0.0112551,0.000253168,0.000251885
512,16384,65536,0.0449068,0.0447452,0.000924501,0.000942735
512,16384,262144,0.178776,0.178256,0.00359727,0.00354069
512,16384,1048576,0.716502,0.731124,0.0142987,0.0140676
512,65536,1024,0.000673234,0.000157409,4.155e-05,3.8892e-05
512,65536,4096,0.00263766,0.000860566,8.2003e-05,7.4974e-05
512,65536,16384,0.0111912,0.00696403,0.000253933,0.000250105
512,65536,65536,0.0441215,0.0440525,0.000926244,0.000907937
512,65536,262144,0.180456,0.179834,0.00360183,0.0035403
512,65536,1048576,0.715928,0.719265,0.0143037,0.0140737
